method,mu,name,auc,tpr_at_1fpr,tpr_at_5fpr,tpr_at_10fpr,member_median,nonmember_median,directional_median_gap
random,1,TM vs NTM | ghost log-PPL,0.72943,0.124,0.265,0.376,4.3647377490997314,4.816715240478516,0.4519774913787842
random,1,TM vs NTM | Min-K 10%,0.8242706,0.197,0.4622,0.5876,-7.579041481018066,-8.704619407653809,1.1255779266357422
random,1,T vs NT | Min-K 10%,0.8268141,0.1916,0.4668,0.5947,-7.533482313156128,-8.667614936828613,1.1341326236724854
learnability,1,TM vs NTM | ghost log-PPL,0.769247,0.177,0.347,0.464,7.438875913619995,7.675075054168701,0.236199140548706
learnability,1,TM vs NTM | Min-K 10%,0.825762785,0.196,0.461,0.5861,-7.577959060668945,-8.689804553985596,1.1118454933166504
learnability,1,T vs NT | Min-K 10%,0.826925275,0.1903,0.4667,0.5927,-7.532588958740234,-8.666833400726318,1.134244441986084
random,3,TM vs NTM | ghost log-PPL,0.998218013620544,0.9776977697769776,0.9896989698969896,0.9943994399439944,1.4525240659713743,5.202437877655029,3.749913811683655
random,3,TM vs NTM | Min-K 10%,0.950964235,0.6545,0.8132,0.8706,-7.470127582550049,-9.303757667541504,1.833630084991455
random,3,T vs NT | Min-K 10%,0.822590205,0.1978,0.4604,0.5862,-7.553204536437988,-8.677509784698486,1.124305248260498
learnability,3,TM vs NTM | ghost log-PPL,0.9072826074486636,0.3637363736373637,0.6092609260926093,0.7348734873487349,7.054834842681885,7.337712287902832,0.2828774452209472
learnability,3,TM vs NTM | Min-K 10%,0.847189145,0.3026,0.5248,0.6336,-7.798658609390259,-8.70922565460205,0.910567045211792
learnability,3,T vs NT | Min-K 10%,0.826584315,0.1981,0.4647,0.5907,-7.539510726928711,-8.670323848724365,1.1308131217956543
